Active Physicians per 100000 Population 2018 (AAMC),Total physician assistants (2019),Heart disease_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Obesity_prevalence
0.11270398047887753,0.003043088130356234,0.696078431372549,0.7438016528925618,0.6402877697841727,0.65625,37.6
0.025316455696202556,0.0009446595492379249,0.49019607843137264,0.4049586776859503,0.40287769784172656,0.5,34.4
0.07488180570382796,0.0004189674875455238,0.7058823529411764,0.3801652892561983,0.5035971223021583,0.6875,35.2
0.05825834985511669,0.0017334669672341707,0.5686274509803924,0.5371900826446281,0.8992805755395685,0.84375,42.4
0.08509989324386152,0.020344604231989076,0.11764705882352944,0.06611570247933879,0.05035971223021585,0.125,22.8
0.11270398047887753,0.029301121433437938,0.34313725490196084,0.3471074380165289,0.3381294964028778,0.34375,29.0
0.09425041939911544,0.0011652654204192944,0.607843137254902,0.6446280991735536,0.5755395683453237,0.53125,34.8
0.14595089217630014,0.003306678743786318,0.5784313725490198,0.47933884297520657,0.446043165467626,0.53125,30.3
0.05536068323928628,0.0003530481684382225,0.411764705882353,0.3801652892561983,0.49640287769784175,0.4375,39.8
0.09425041939911544,0.00460336405058201,0.6372549019607843,0.5950413223140495,0.60431654676259,0.5625,31.0
0.2681104163489401,0.011321788516065176,0.30392156862745096,0.23140495867768585,0.1942446043165469,0.3125,24.5
0.0510904377001678,0.004093657506543177,0.4803921568627452,0.2644628099173554,0.7769784172661869,0.65625,40.0
0.05703827970108277,0.0039552424353967944,0.4803921568627452,0.5206611570247933,0.6258992805755397,0.5625,33.6
0.1888058563367394,0.07884331377509955,0.23529411764705882,0.28099173553719003,0.27338129496402885,0.25,29.0
0.134665243251487,0.08739422397751076,0.10784313725490191,0.0,0.1942446043165469,0.15625,16.8
0.04102485892938845,0.0018734240776885336,0.44117647058823534,0.3223140495867768,0.3669064748201438,0.40625,34.2
0.060240963855421714,0.0007295359236281766,0.5686274509803924,0.6363636363636362,0.5755395683453237,0.53125,34.7
0.134665243251487,0.005381735377180941,0.4705882352941178,0.36363636363636354,0.39568345323741005,0.5625,26.9
0.11270398047887753,0.018195848577912677,1.0,0.6611570247933884,0.7553956834532376,0.9375,28.9
0.2681104163489401,0.00719430064655512,0.24509803921568635,0.2148760330578512,0.18705035971223016,0.28125,25.1
0.1439682781759951,0.0009274457053517384,0.3725490196078432,0.20661157024793386,0.2517985611510791,0.4375,22.7
0.09425041939911544,0.0037920030696354445,0.6568627450980391,0.7107438016528925,0.60431654676259,0.5625,39.0
0.14198566417569009,0.0053640638207830705,0.45098039215686275,0.42148760330578505,0.4172661870503598,0.46875,34.4
0.17096233033399416,0.04737572921723676,0.3725490196078432,0.3305785123966941,0.4244604316546763,0.40625,36.8
0.05703827970108277,0.02411210400759686,0.2254901960784314,0.19834710743801653,0.3237410071942446,0.25,29.9
0.15464389202379136,0.0014198241459795972,0.6666666666666667,0.677685950413223,0.618705035971223,0.5625,41.7
0.060393472624675926,0.0012200714939431363,0.6862745098039216,0.8264462809917356,0.7122302158273381,0.5625,45.3
0.025316455696202556,0.001827733809917485,0.45098039215686275,0.33884297520661155,0.3309352517985611,0.46875,32.7
0.10965380509379286,0.004969728489996816,0.6274509803921569,0.5702479338842974,0.5323741007194245,0.5625,39.6
0.060240963855421714,0.0025039052810838947,0.4313725490196079,0.5041322314049587,0.4676258992805755,0.40625,37.2
0.09425041939911544,0.020158076855670105,0.20588235294117646,0.1735537190082645,0.2086330935251799,0.15625,26.8
0.16989476894921457,0.0017565257452691308,0.4313725490196079,0.20661157024793386,0.3093525179856116,0.4375,30.4
0.039347262467591904,0.001803891890602719,0.6176470588235294,0.5785123966942148,0.8201438848920863,0.6875,39.1
0.10523105078542017,0.0026475664550229833,0.5,0.49586776859504134,0.6834532374100719,0.59375,40.2
0.16989476894921457,0.006458401356394569,0.24509803921568635,0.14049586776859502,0.2086330935251799,0.28125,32.8
0.04102485892938845,0.002483444151243658,0.3725490196078432,0.2479338842975206,0.29496402877697836,0.375,38.5
